"","family","uri"
"1","Acanthaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000618-2"
"2","Achariaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126656-1"
"3","Achatocarpaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126689-1"
"4","Acoraceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126753-1"
"5","Actinidiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30005518-2"
"6","Aextoxicaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126714-1"
"7","Aizoaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30004741-2"
"8","Akaniaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126629-1"
"9","Alismataceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126755-1"
"10","Alseuosmiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126665-1"
"11","Alstroemeriaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126742-1"
"12","Altingiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60463114-2"
"13","Alzateaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:892852-1"
"14","Amaranthaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000566-2"
"15","Amaryllidaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000959-2"
"16","Amborellaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126703-1"
"17","Anacampserotaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77103955-1"
"18","Anacardiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30002342-2"
"19","Ancistrocladaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126601-1"
"20","Anisophylleaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126652-1"
"21","Annonaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000342-2"
"22","Aphanopetalaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60428217-2"
"23","Aphloiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:985459-1"
"24","Apiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000180-2"
"25","Apocynaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000008-2"
"26","Apodanthaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:924663-1"
"27","Aponogetonaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126758-1"
"29","Aquifoliaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126622-1"
"30","Araceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000216-2"
"31","Araliaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30001539-2"
"32","Arecaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000211-2"
"33","Argophyllaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:924672-1"
"34","Aristolochiaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000909-2"
"35","Asparagaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30275682-2"
"36","Asphodelaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60006629-3"
"37","Asteliaceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77126733-1"
"38","Asteraceae","http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319342-2"
