"country","botanical_division"
"Åland","Åland"
"Afghanistan","Afghanistan"
"Albania","Albania"
"Algeria","Algeria"
"American Samoa","American Samoa"
"Andorra","Andorra"
"Angola","Angola"
"Angola","Cabinda"
"Anguilla","Anguilla"
"Antarctica","Antarctica"
"Antigua and Barbuda","Antigua and Barbuda"
"Argentina","Argentina Northeast"
"Argentina","Argentina South"
"Argentina","Argentina Northwest"
"Armenia","Transcaucasus"
"Aruba","Aruba"
"Australia","New South Wales"
"Australia","Northern Territory"
"Australia","Queensland"
"Australia","South Australia"
"Australia","Tasmania"
"Australia","Victoria"
"Australia","Western Australia"
"Austria","Austria"
"Azerbaijan","Transcaucasus"
"Bahamas","Bahamas"
"Bahrain","Bahrain"
"Brunei","Brunei"
"United States Minor Outlying Islands","United States Minor Outlying Islands"
"Bangladesh","Bangladesh"
"Barbados","Barbados"
"Belarus","Belarus"
"Belgium","Belgium"
"Belize","Belize"
"Benin","Benin"
"Bermuda","Bermuda"
"Bhutan","East Himalaya"
"Bolivia","Bolivia"
"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba"
"Bosnia and Herzegovina","Yugoslavia"
"Botswana","Botswana"
"Bouvet Island","Bouvet Island"
"Brazil","Brazil West-Central"
"Brazil","Brazil Northeast"
"Brazil","Brazil Southeast"
"Brazil","Brazil North"
"Brazil","Brazil South"
"British Indian Ocean Territory","British Indian Ocean Territory"
"British Virgin Islands","British Virgin Islands"
"Bulgaria","Bulgaria"
"Burkina Faso","Burkina"
"Myanmar","Myanmar"
"Burundi","Burundi"
"Cambodia","Cambodia"
"Cameroon","Cameroon"
"Canada","Alberta"
"Canada","British Columbia"
"Canada","Labrador"
"Canada","Manitoba"
"Canada","New Brunswick"
"Canada","Newfoundland"
"Canada","Nova Scotia"
"Canada","Nunavut"
"Canada","Northwest Territories"
"Canada","Ontario"
"Canada","Prince Edward I."
"Canada","Québec"
"Canada","Saskatchewan"
"Canada","Yukon"
"Cape Verde","Cape Verde"
"Cayman Islands","Cayman Islands"
"Central African Republic","Central African Republic"
"Chad","Chad"
"Chile","Chile Central"
"Chile","Chile North"
"Chile","Chile South"
"China","China South-Central"
"China","Hainan"
"China","Inner Mongolia"
"China","Manchuria"
"China","China North-Central"
"China","Qinghai"
"China","China Southeast"
"China","Tibet"
"China","Xinjiang"
"Christmas Island","Christmas Island"
"Clipperton Island","Clipperton Island"
"Cocos Islands","Cocos Islands"
"Colombia","Colombia"
"Comoros","Comoros"
"Republic of Congo","Congo"
"Democratic Republic of the Congo","Zaïre"
"Cook Islands","Cook Islands"
"Costa Rica","Costa Rica"
"Croatia","Yugoslavia"
"Cuba","Cuba"
"Curaçao","Curaçao"
"Cyprus","Cyprus"
"Czech Republic","Czechoslovakia"
"Côte d'Ivoire","Ivory Coast"
"Denmark","Denmark"
"Djibouti","Djibouti"
"Dominica","Dominica"
"Dominican Republic","Dominican Republic"
"Ecuador","Ecuador"
"Ecuador","Galápagos"
"Egypt","Egypt"
"Egypt","Sinai"
"El Salvador","El Salvador"
"Equatorial Guinea","Equatorial Guinea"
"Eritrea","Eritrea"
"Estonia","Baltic States"
"Ethiopia","Ethiopia"
"French Southern Territories","Kerguelen"
"Falkland Islands","Falkland Is."
"Faroe Islands","Faroe Islands"
"Micronesia","Micronesia"
"Fiji","Fiji"
"Finland","Finland"
"France","Corse"
"France","France"
"French Guiana","French Guiana"
"French Polynesia","French Polynesia"
"Gabon","Gabon"
"Gambia","Gambia, The"
"Palestina","Palestine"
"Georgia","Transcaucasus"
"Germany","Germany"
"Ghana","Ghana"
"Gibraltar","Gibraltar"
"Greece","East Aegean Is."
"Greece","Greece"
"Greece","Kriti"
"Greenland","Greenland"
"Grenada","Grenada"
"Guadeloupe","Guadeloupe"
"Guam","Guam"
"Guatemala","Guatemala"
"Guernsey","Guernsey"
"Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Guyana","Guyana"
"Haiti","Haiti"
"Heard Island and McDonald Islands","Heard Island and McDonald Islands"
"Honduras","Honduras"
"Hong Kong","Hong Kong"
"Hungary","Hungary"
"Iceland","Iceland"
"India","Assam"
"India","East Himalaya"
"India","India"
"India","West Himalaya"
"Indonesia","Borneo"
"Indonesia","Jawa"
"Indonesia","Lesser Sunda Is."
"Indonesia","Maluku"
"Indonesia","New Guinea"
"Indonesia","Sulawesi"
"Indonesia","Sumatera"
"Iran","Iran"
"Iraq","Iraq"
"Ireland","Ireland"
"Isle of Man","Isle of Man"
"Israel","Palestine"
"Italy","Italy"
"Italy","Sardegna"
"Italy","Sicilia"
"Jamaica","Jamaica"
"Japan","Japan"
"Jersey","Jersey"
"Jordan","Palestine"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kiribati","Kiribati"
"Kuwait","Kuwait"
"Kyrgyzstan","Kirgizistan"
"Laos","Laos"
"Latvia","Baltic States"
"Lebanon","Lebanon-Syria"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Liechtenstein","Liechtenstein"
"Lithuania","Baltic States"
"Luxembourg","Luxembourg"
"Macao","Macao"
"Macedonia","Yugoslavia"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Borneo"
"Malaysia","Malaya"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malta"
"Marshall Islands","Marshall Islands"
