family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Martyniaceae,Craniolaria,integrifolia,Craniolaria integrifolia,Cham.,Craniolaria integrifolia Cham.,Accepted,,Linnaea 7: 725 (1832),"Argentina, Bolivia, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Paraguay, Uruguay",unknown,unknown,675805-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:675805-1
Martyniaceae,Martynia,,Martynia integrifolia,,Martynia integrifolia Steud.,Heterotypic Synonym,Craniolaria integrifolia Cham.,"Nomencl. Bot., ed. 2, 2: 104 (1841)",,,,,675851-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:675851-1
Martyniaceae,Craniolaria,,Craniolaria integrifolia f. longiflora,,Craniolaria integrifolia f. longiflora Chodat & Hassl.,Heterotypic Synonym,Craniolaria integrifolia Cham.,"Bull. Herb. Boissier, sér. 2, 3: 547 (1903)",,,,,67703-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:67703-2
Martyniaceae,Craniolaria,,Craniolaria argentina,,Craniolaria argentina Speg.,Heterotypic Synonym,Craniolaria integrifolia Cham.,Pl. Nov. Argent. 3: 1 (1897),,,,,675801-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:675801-1
Martyniaceae,Holoregmia,viscida,Holoregmia viscida,Nees,Holoregmia viscida Nees,Accepted,,Flora 4: 300 (1821),Brazil,Brazil Northeast,unknown,unknown,327210-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:327210-2
Martyniaceae,Martynia,,Martynia spathacea,,Martynia spathacea Spreng.,Heterotypic Synonym,Holoregmia viscida Nees,"Syst. Veg., ed. 16. 4(2): 238 (1827)",,,,,1074050-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1074050-2
Martyniaceae,Proboscidea,,Proboscidea unibracteata,,Proboscidea unibracteata Decne.,Homotypic Synonym,Holoregmia viscida Nees,"Ann. Sci. Nat., Bot., sér. 5, 3: 325 (1865), nom. superfl.",,,,,1032561-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1032561-2
Martyniaceae,Craniolaria,,Craniolaria unibracteata,,Craniolaria unibracteata Nees & Mart.,Homotypic Synonym,Holoregmia viscida Nees,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11: 67 (1820), nom. superfl.",,,,,1205502-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1205502-2
Martyniaceae,Ibicella,lutea,Ibicella lutea,(Lindl.) Van Eselt.,Ibicella lutea (Lindl.) Van Eselt.,Accepted,,"Techn. Bull. New York Agric. Exp. Sta., Geneva 149: 34 (1929)","Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Brazil Northeast, Brazil South, Brazil Southeast, Paraguay, Uruguay","Algeria, Belgium, France, Germany, Greece, South Africa, Tunisia, United States","Algeria, Arizona, Belgium, California, Cape Provinces, East Aegean Is., Florida, France, Germany, KwaZulu-Natal, Mississippi, Northern Provinces, Tunisia",565368-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:565368-1
Martyniaceae,Martynia,,Martynia nelsoniana,,Martynia nelsoniana Barb.Rodr.,Heterotypic Synonym,Ibicella lutea (Lindl.) Van Eselt.,Pl. Jard. Rio de Janeiro 6: 15 (1898),,,,,565374-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:565374-1
Martyniaceae,Martynia,,Martynia montevidensis,,Martynia montevidensis Cham.,Heterotypic Synonym,Ibicella lutea (Lindl.) Van Eselt.,Linnaea 7: 724 (1833),,,,,675858-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:675858-1
Martyniaceae,Martynia,,Martynia lutea var. nelsoniana,,Martynia lutea var. nelsoniana Barb.Rodr.,Heterotypic Synonym,Ibicella lutea (Lindl.) Van Eselt.,Pl. Jard. Rio de Janeiro 6: 12 (1898),,,,,153751-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:153751-2
Martyniaceae,Ibicella,,Ibicella nelsoniana,,Ibicella nelsoniana Van Eselt.,Heterotypic Synonym,Ibicella lutea (Lindl.) Van Eselt.,"Techn. Bull. New York Agric. Exp. Sta., Geneva 149: 32 (1929)",,,,,127284-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:127284-2
Martyniaceae,Proboscidea,,Proboscidea lutea,,Proboscidea lutea (Lindl.) Stapf,Homotypic Synonym,Ibicella lutea (Lindl.) Van Eselt.,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam. 4(3b): 369 (1895)",,,,,210337-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:210337-2
Martyniaceae,Martynia,,Martynia lutea,,Martynia lutea Lindl.,Homotypic Synonym,Ibicella lutea (Lindl.) Van Eselt.,Bot. Reg. 11: t. 934 (1825),,,,,675857-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:675857-1
Martyniaceae,Ibicella,parodii,Ibicella parodii,Abbiatti,Ibicella parodii Abbiatti,Accepted,,"Notas Mus. La Plata, Bot. 4: 458 (1939)","Argentina, Bolivia","Argentina Northeast, Argentina Northwest, Bolivia",unknown,unknown,127285-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:127285-2
