Lecythidaceae,Allantoma,Miers,Allantoma Miers,Trans. Linn. Soc. London 30: 291 (1874),8,"Bolivia, Brazil, Colombia, Peru, Venezuela","Bolivia, Brazil North, Colombia, Peru, Venezuela",unknown,unknown,27400-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27400-1
Lecythidaceae,Asteranthos,Desf.,Asteranthos Desf.,Mém. Mus. Hist. Nat. 6: 9 (1820),1,"Brazil, Colombia, Venezuela","Brazil North, Colombia, Venezuela",unknown,unknown,27417-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27417-1
Lecythidaceae,Barringtonia,J.R.Forst. & G.Forst.,Barringtonia J.R.Forst. & G.Forst.,"Char. Gen. Pl.: 75 (1776), nom. cons.",72,"Afghanistan, Andaman Is., Australia, Bangladesh, Cambodia, Caroline Is., Chagos Archipelago, China, Christmas I., Cocos (Keeling) Is., Comoros, Cook Is., Fiji, Gilbert Is., India, Indonesia, Indonesia, East Timor, Indonesia, Malaysia, Indonesia, Papua New Guinea, Kenya, Laos, Line Is., Madagascar, Malaysia, Maldives, Marianas, Marquesas, Marshall Is., Mauritius, Mozambique, Mozambique Channel I, Myanmar, Nansei-shoto, Nauru, New Caledonia, Nicobar Is., Niue, Ogasawara-shoto, Pakistan, Papua New Guinea, Papua New Guinea, Solomon Islands, Philippines, Reunion, Samoa, Santa Cruz Is., Seychelles, Society Is., South Africa, South China Sea, Sri Lanka, Taiwan, Tanzania, Thailand, Tokelau-Manihiki, Tonga, Tuamotu, Tubuai Is., Tuvalu, Vanuatu, Vietnam, Wallis-Futuna Is.","Afghanistan, Andaman Is., Assam, Bangladesh, Bismarck Archipelago, Borneo, Cambodia, Caroline Is., Chagos Archipelago, China South-Central, Christmas I., Cocos (Keeling) Is., Comoros, Cook Is., Fiji, Gilbert Is., Hainan, India, Jawa, Kenya, KwaZulu-Natal, Laos, Lesser Sunda Is., Line Is., Madagascar, Malaya, Maldives, Maluku, Marianas, Marquesas, Marshall Is., Mauritius, Mozambique, Mozambique Channel I, Myanmar, Nansei-shoto, Nauru, New Caledonia, New Guinea, Nicobar Is., Niue, Ogasawara-shoto, Pakistan, Philippines, Queensland, Reunion, Samoa, Santa Cruz Is., Seychelles, Society Is., Solomon Is., South China Sea, Sri Lanka, Sulawesi, Sumatera, Taiwan, Tanzania, Thailand, Tokelau-Manihiki, Tonga, Tuamotu, Tubuai Is., Tuvalu, Vanuatu, Vietnam, Wallis-Futuna Is.","Cayman Is., Cuba, Dominican Republic, Haiti, Leeward Is., Puerto Rico, Trinidad-Tobago, Windward Is.","Cayman Is., Cuba, Dominican Republic, Haiti, Leeward Is., Puerto Rico, Trinidad-Tobago, Windward Is.",329914-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:329914-2
Lecythidaceae,Bertholletia,Bonpl.,Bertholletia Bonpl.,"F.W.H.A.von Humboldt & A.J.A.Bonpland, Pl. Aequinoct. 1: 122 (1807)",1,"Bolivia, Brazil, Colombia, French Guiana, Guyana, Suriname, Venezuela","Bolivia, Brazil North, Brazil West-Central, Colombia, French Guiana, Guyana, Suriname, Venezuela",Caroline Is.,Caroline Is.,27438-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27438-1
Lecythidaceae,Brazzeia,Baill.,Brazzeia Baill.,Bull. Mens. Soc. Linn. Paris 1: 609 (1886),3,"Angola, Cameroon, Central African Republic, Equatorial Guinea, Gabon, Republic of Congo, Uganda, Zaire","Cabinda, Cameroon, Central African Repu, Congo, Equatorial Guinea, Gabon, Uganda, Zaire",unknown,unknown,39384-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:39384-1
Lecythidaceae,Careya,Roxb.,Careya Roxb.,"Fl. Ind., ed. 1832. 2: 636 (1832)",3,"Afghanistan, Andaman Is., Bangladesh, Bhutan, India, Cambodia, India, India, Pakistan, Laos, Malaysia, Myanmar, Nepal, Thailand, Vietnam","Afghanistan, Andaman Is., Assam, Bangladesh, Cambodia, East Himalaya, India, Laos, Malaya, Myanmar, Nepal, Thailand, Vietnam, West Himalaya",unknown,unknown,331462-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331462-2
Lecythidaceae,Cariniana,Casar.,Cariniana Casar.,Nov. Stirp. Bras. 4: 35 (1842),9,"Bolivia, Brazil, Colombia, Paraguay, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Paraguay, Venezuela",Trinidad-Tobago,Trinidad-Tobago,27473-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27473-1
Lecythidaceae,Chydenanthus,Miers,Chydenanthus Miers,"Trans. Linn. Soc. London, Bot. 1: 111 (1875)",1,"Andaman Is., Indonesia, Indonesia, East Timor, Indonesia, Malaysia, Indonesia, Papua New Guinea, Myanmar, Nicobar Is.","Andaman Is., Borneo, Jawa, Lesser Sunda Is., Maluku, Myanmar, New Guinea, Nicobar Is., Sulawesi, Sumatera",Trinidad-Tobago,Trinidad-Tobago,27484-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27484-1
Lecythidaceae,Corythophora,R.Knuth,Corythophora R.Knuth,"H.G.A.Engler (ed.), Pflanzenr., IV, 219a: 50 (1939)",4,"Brazil, French Guiana, Suriname","Brazil North, French Guiana, Suriname",unknown,unknown,296913-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:296913-2
Lecythidaceae,Couratari,Aubl.,Couratari Aubl.,Hist. Pl. Guiane 2: 723 (1775),19,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Panama, Peru, Suriname, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Panama, Peru, Suriname, Venezuela",unknown,unknown,27498-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27498-1
Lecythidaceae,Couroupita,Aubl.,Couroupita Aubl.,Hist. Pl. Guiane 2: 708 (1775),3,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, French Guiana, Guyana, Nicaragua, Panama, Peru, Suriname, Venezuela","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, El Salvador, French Guiana, Guyana, Nicaragua, Panama, Peru, Suriname, Venezuela","Andaman Is., Bangladesh, Brazil, Cuba, Dominican Republic, Haiti, Honduras, Jamaica, Leeward Is., Marshall Is., Nicobar Is., Puerto Rico, Trinidad-Tobago, United States, Windward Is.","Andaman Is., Bangladesh, Brazil Southeast, Cuba, Dominican Republic, Florida, Haiti, Honduras, Jamaica, Leeward Is., Marshall Is., Nicobar Is., Puerto Rico, Trinidad-Tobago, Windward Is.",27499-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27499-1
Lecythidaceae,Crateranthus,Baker f.,Crateranthus Baker f.,"A.B.Rendle & al., Cat. Pl. Oban: 35 (1913)",4,"Cameroon, Gabon, Nigeria, Republic of Congo, Zaire","Cameroon, Congo, Gabon, Nigeria, Zaire",unknown,unknown,21537-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:21537-1
Lecythidaceae,Eschweilera,Mart. ex DC.,Eschweilera Mart. ex DC.,Prodr. 3: 293 (1828),97,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Honduras, Mexico, Nicaragua, Panama, Peru, Suriname, Trinidad-Tobago, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Honduras, Mexico Gulf, Mexico Southwest, Nicaragua, Panama, Peru, Suriname, Trinidad-Tobago, Venezuela",unknown,unknown,326987-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326987-2
Lecythidaceae,Foetidia,Comm. ex Lam.,Foetidia Comm. ex Lam.,Encycl. 2: 457 (1788),18,"Comoros, Madagascar, Mauritius, Rodrigues, Reunion, Tanzania","Comoros, Madagascar, Mauritius, Rodrigues, Reunion, Tanzania",unknown,unknown,27546-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27546-1
