family,genus,authors,scientific_name,species_number,kew_id,powo_uri
Acanthaceae,Justicia,L.,Justicia L.,939,326849-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326849-2
Acanthaceae,Strobilanthes,Blume,Strobilanthes Blume,451,327189-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:327189-2
Acanthaceae,Ruellia,Plum. ex L.,Ruellia Plum. ex L.,362,326011-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326011-2
Acanthaceae,Barleria,L.,Barleria L.,300,30234317-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30234317-2
Acanthaceae,Dicliptera,Juss.,Dicliptera Juss.,220,331554-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331554-2
Acanthaceae,Aphelandra,R.Br.,Aphelandra R.Br.,202,30000831-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000831-2
Acanthaceae,Staurogyne,Wall.,Staurogyne Wall.,152,947-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947-1
Acanthaceae,Thunbergia,Retz.,Thunbergia Retz.,151,332015-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:332015-2
Acanthaceae,Lepidagathis,Willd.,Lepidagathis Willd.,147,30029079-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30029079-2
Acanthaceae,Hypoestes,Sol. ex R.Br.,Hypoestes Sol. ex R.Br.,137,659-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:659-1
Achariaceae,Hydnocarpus,Gaertn.,Hydnocarpus Gaertn.,44,4341-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4341-1
Achariaceae,Ryparosa,Blume,Ryparosa Blume,23,20168-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:20168-1
Achariaceae,Erythrospermum,Lam.,Erythrospermum Lam.,18,4328-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4328-1
Achariaceae,Lindackeria,C.Presl,Lindackeria C.Presl,14,4353-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4353-1
Achariaceae,Carpotroche,Endl.,Carpotroche Endl.,12,30005106-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30005106-2
Achariaceae,Caloncoba,Gilg,Caloncoba Gilg,10,16392-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:16392-1
Achariaceae,Dasylepis,Oliv.,Dasylepis Oliv.,6,4321-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4321-1
Achariaceae,Mayna,Aubl.,Mayna Aubl.,6,4358-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4358-1
Achariaceae,Prockiopsis,Baill.,Prockiopsis Baill.,5,4383-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4383-1
Achariaceae,Xylotheca,Hochst.,Xylotheca Hochst.,4,4409-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:4409-1
Achatocarpaceae,Achatocarpus,Triana,Achatocarpus Triana,9,1109-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1109-1
Achatocarpaceae,Phaulothamnus,A.Gray,Phaulothamnus A.Gray,1,327317-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:327317-2
Acoraceae,Acorus,L.,Acorus L.,2,2667-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:2667-1
Actinidiaceae,Saurauia,Willd.,Saurauia Willd.,392,327992-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:327992-2
